"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Ashford School District","=""0030011""","Central and other support services","$438,402",354,2,"$1,238"
"Ashford School District","=""0030011""","Operation and maintenance of plant","$908,897",354,2,"$2,568"
"Ashford School District","=""0030011""","Student transportation services","$622,110",354,3,"$1,757"
"Ashford School District","=""0030011""","Food services","$54,986",354,2,"$155"
"Ashford School District","=""0030011""","Enterprise operations","$0",354,2,"$0"
"Ashford School District","=""0030011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ashford School District","=""0030011""","Total","$9,357,680",357,1,"$26,212"
"Avon School District","=""0040011""","Instruction","$44,403,090",3216,1,"$13,807"
"Avon School District","=""0040011""","Support services - students","$5,119,915",3102,2,"$1,651"
"Avon School District","=""0040011""","Support services - instruction","$1,154,148",3102,2,"$372"
"Avon School District","=""0040011""","Support services - general administration","$1,263,262",3102,2,"$407"
"Avon School District","=""0040011""","Support services - school based administration","$3,163,367",3102,2,"$1,020"
"Avon School District","=""0040011""","Central and other support services","$2,952,643",3102,2,"$952"
"Avon School District","=""0040011""","Operation and maintenance of plant","$5,692,087",3102,2,"$1,835"
"Avon School District","=""0040011""","Student transportation services","$3,440,605",2969,3,"$1,159"
"Avon School District","=""0040011""","Food services","$0",3102,2,"$0"
"Avon School District","=""0040011""","Enterprise operations","$1,402,096",3102,2,"$452"
"Avon School District","=""0040011""","Minor school construction","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Total","$68,591,213",3216,1,"$21,328"
"Barkhamsted School District","=""0050011""","Instruction","$2,974,944",222,1,"$13,401"
"Barkhamsted School District","=""0050011""","Support services - students","$75,032",218,2,"$344"
"Barkhamsted School District","=""0050011""","Support services - instruction","$337,654",218,2,"$1,549"
"Barkhamsted School District","=""0050011""","Support services - general administration","$242,214",218,2,"$1,111"
"Barkhamsted School District","=""0050011""","Support services - school based administration","$286,462",218,2,"$1,314"
"Barkhamsted School District","=""0050011""","Central and other support services","$102,365",218,2,"$470"
"Barkhamsted School District","=""0050011""","Operation and maintenance of plant","$431,572",218,2,"$1,980"
"Barkhamsted School District","=""0050011""","Student transportation services","$298,900",201,3,"$1,487"
"Barkhamsted School District","=""0050011""","Food services","$10,170",218,2,"$47"
"Barkhamsted School District","=""0050011""","Enterprise operations","$0",218,2,"$0"
"Barkhamsted School District","=""0050011""","Minor school construction","N/A","N/A","N/A","N/A"
"Barkhamsted School District","=""0050011""","Total","$4,759,312",222,1,"$21,438"
"Berlin School District","=""0070011""","Instruction","$37,750,125",2720,1,"$13,879"
"Berlin School District","=""0070011""","Support services - students","$3,550,744",2644,2,"$1,343"
"Berlin School District","=""0070011""","Support services - instruction","$1,566,272",2644,2,"$592"
"Berlin School District","=""0070011""","Support services - general administration","$657,921",2644,2,"$249"
"Berlin School District","=""0070011""","Support services - school based administration","$2,877,409",2644,2,"$1,088"
"Berlin School District","=""0070011""","Central and other support services","$7,258,672",2644,2,"$2,745"
"Berlin School District","=""0070011""","Operation and maintenance of plant","$2,689,507",2644,2,"$1,017"
"Berlin School District","=""0070011""","Student transportation services","$3,359,234",2399,3,"$1,400"
"Berlin School District","=""0070011""","Food services","$8,319",2644,2,"$3"
"Berlin School District","=""0070011""","Enterprise operations","$935,689",2644,2,"$354"
"Berlin School District","=""0070011""","Minor school construction","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Total","$60,653,890",2720,1,"$22,299"
"Bethany School District","=""0080011""","Instruction","$5,207,819",450,1,"$11,573"
"Bethany School District","=""0080011""","Support services - students","$533,464",445,2,"$1,199"
"Bethany School District","=""0080011""","Support services - instruction","$393,511",445,2,"$884"
"Bethany School District","=""0080011""","Support services - general administration","$745,921",445,2,"$1,676"
"Bethany School District","=""0080011""","Support services - school based administration","$456,049",445,2,"$1,025"
"Bethany School District","=""0080011""","Central and other support services","$785",445,2,"$2"
"Bethany School District","=""0080011""","Operation and maintenance of plant","$828,255",445,2,"$1,861"
"Bethany School District","=""0080011""","Student transportation services","$395,724",402,3,"$984"
"Bethany School District","=""0080011""","Food services","$0",445,2,"$0"
"Bethany School District","=""0080011""","Enterprise operations","$36,704",445,2,"$82"
"Bethany School District","=""0080011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bethany School District","=""0080011""","Total","$8,598,233",450,1,"$19,107"
"Bethel School District","=""0090011""","Instruction","$36,611,356",3278,1,"$11,169"
"Bethel School District","=""0090011""","Support services - students","$4,261,215",3234,2,"$1,318"
"Bethel School District","=""0090011""","Support services - instruction","$4,872,680",3234,2,"$1,507"
"Bethel School District","=""0090011""","Support services - general administration","$580,285",3234,2,"$179"
"Bethel School District","=""0090011""","Support services - school based administration","$2,930,123",3234,2,"$906"
"Bethel School District","=""0090011""","Central and other support services","$2,592,770",3234,2,"$802"
"Bethel School District","=""0090011""","Operation and maintenance of plant","$5,528,457",3234,2,"$1,709"
"Bethel School District","=""0090011""","Student transportation services","$3,674,014",3324,3,"$1,105"
"Bethel School District","=""0090011""","Food services","$0",3234,2,"$0"
"Bethel School District","=""0090011""","Enterprise operations","$0",3234,2,"$0"
"Bethel School District","=""0090011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bethel School District","=""0090011""","Total","$61,050,899",3278,1,"$18,624"
"Bloomfield School District","=""0110011""","Instruction","$42,213,914",2730,1,"$15,463"
"Bloomfield School District","=""0110011""","Support services - students","$3,995,708",1960,2,"$2,039"
"Bloomfield School District","=""0110011""","Support services - instruction","$1,156,234",1960,2,"$590"
"Bloomfield School District","=""0110011""","Support services - general administration","$2,410,718",1960,2,"$1,230"
"Bloomfield School District","=""0110011""","Support services - school based administration","$3,684,456",1960,2,"$1,880"
"Bloomfield School District","=""0110011""","Central and other support services","$3,095,343",1960,2,"$1,579"
"Bloomfield School District","=""0110011""","Operation and maintenance of plant","$5,584,665",1960,2,"$2,849"
"Bloomfield School District","=""0110011""","Student transportation services","$4,371,582",1645,3,"$2,657"
"Bloomfield School District","=""0110011""","Food services","$0",1960,2,"$0"
"Bloomfield School District","=""0110011""","Enterprise operations","$848,760",1960,2,"$433"
"Bloomfield School District","=""0110011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Total","$67,361,381",2730,1,"$24,674"
"Bolton School District","=""0120011""","Instruction","$9,214,280",733,1,"$12,571"
"Bolton School District","=""0120011""","Support services - students","$1,194,773",698,2,"$1,712"
"Bolton School District","=""0120011""","Support services - instruction","$674,172",698,2,"$966"
"Bolton School District","=""0120011""","Support services - general administration","$664,766",698,2,"$952"
"Bolton School District","=""0120011""","Support services - school based administration","$1,305,340",698,2,"$1,870"
"Bolton School District","=""0120011""","Central and other support services","$885,390",698,2,"$1,268"
"Bolton School District","=""0120011""","Operation and maintenance of plant","$1,462,017",698,2,"$2,095"
"Bolton School District","=""0120011""","Student transportation services","$723,370",644,3,"$1,123"
"Bolton School District","=""0120011""","Food services","$942",698,2,"$1"
"Bolton School District","=""0120011""","Enterprise operations","$221,497",698,2,"$317"
"Bolton School District","=""0120011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bolton School District","=""0120011""","Total","$16,346,546",733,1,"$22,301"
"Booker T. Washington Academy District","=""2950013""","Instruction","$4,448,611",384,1,"$11,585"
"Booker T. Washington Academy District","=""2950013""","Support services - students","$574,786",384,2,"$1,497"
"Booker T. Washington Academy District","=""2950013""","Support services - instruction","$359,825",384,2,"$937"
"Booker T. Washington Academy District","=""2950013""","Support services - general administration","$0",384,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Support services - school based administration","$951,180",384,2,"$2,477"
"Booker T. Washington Academy District","=""2950013""","Central and other support services","$0",384,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Operation and maintenance of plant","$1,147,729",384,2,"$2,989"
"Booker T. Washington Academy District","=""2950013""","Student transportation services","$23,123",150,3,"$154"
"Booker T. Washington Academy District","=""2950013""","Food services","$0",384,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Enterprise operations","$0",384,2,"$0"
"Booker T. Washington Academy District","=""2950013""","Minor school construction","N/A","N/A","N/A","N/A"
"Booker T. Washington Academy District","=""2950013""","Total","$7,505,255",384,1,"$19,545"
"Bozrah School District","=""0130011""","Instruction","$4,457,472",256,1,"$17,412"
"Bozrah School District","=""0130011""","Support services - students","$927,552",167,2,"$5,554"
"Bozrah School District","=""0130011""","Support services - instruction","$62,769",167,2,"$376"
"Bozrah School District","=""0130011""","Support services - general administration","$274,224",167,2,"$1,642"
"Bozrah School District","=""0130011""","Support services - school based administration","$224,496",167,2,"$1,344"
"Bozrah School District","=""0130011""","Central and other support services","$58,770",167,2,"$352"
"Bozrah School District","=""0130011""","Operation and maintenance of plant","$632,340",167,2,"$3,786"
"Bozrah School District","=""0130011""","Student transportation services","$459,735",167,3,"$2,753"
"Bozrah School District","=""0130011""","Food services","$77,671",167,2,"$465"
"Bozrah School District","=""0130011""","Enterprise operations","$15,026",167,2,"$90"
"Bozrah School District","=""0130011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bozrah School District","=""0130011""","Total","$7,190,055",256,1,"$28,086"
"Branford School District","=""0140011""","Instruction","$30,090,553",2690,1,"$11,186"
"Branford School District","=""0140011""","Support services - students","$6,368,696",2610,2,"$2,440"
"Branford School District","=""0140011""","Support services - instruction","$16,857,363",2610,2,"$6,459"
"Branford School District","=""0140011""","Support services - general administration","$1,655,118",2610,2,"$634"
"Branford School District","=""0140011""","Support services - school based administration","$1,072,294",2610,2,"$411"
"Branford School District","=""0140011""","Central and other support services","$993,452",2610,2,"$381"
"Branford School District","=""0140011""","Operation and maintenance of plant","$6,167,764",2610,2,"$2,363"
"Branford School District","=""0140011""","Student transportation services","$3,558,811",2650,3,"$1,343"
"Branford School District","=""0140011""","Food services","$0",2610,2,"$0"
"Branford School District","=""0140011""","Enterprise operations","$558,310",2610,2,"$214"
"Branford School District","=""0140011""","Minor school construction","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","Total","$67,322,360",2690,1,"$25,027"
"Brass City Charter School District","=""2900013""","Instruction","$3,437,581",363,1,"$9,470"
"Brass City Charter School District","=""2900013""","Support services - students","$432,208",363,2,"$1,191"
"Brass City Charter School District","=""2900013""","Support services - instruction","$115,192",363,2,"$317"
"Brass City Charter School District","=""2900013""","Support services - general administration","$238,031",363,2,"$656"
"Brass City Charter School District","=""2900013""","Support services - school based administration","$431,795",363,2,"$1,190"
"Brass City Charter School District","=""2900013""","Central and other support services","$256,354",363,2,"$706"
"Brass City Charter School District","=""2900013""","Operation and maintenance of plant","$491,195",363,2,"$1,353"
"Brass City Charter School District","=""2900013""","Student transportation services","$496,786",360,3,"$1,380"
"Brass City Charter School District","=""2900013""","Food services","$0",363,2,"$0"
"Brass City Charter School District","=""2900013""","Enterprise operations","$0",363,2,"$0"
"Brass City Charter School District","=""2900013""","Minor school construction","N/A","N/A","N/A","N/A"
"Brass City Charter School District","=""2900013""","Total","$5,899,142",363,1,"$16,251"
"Bridgeport School District","=""0150011""","Instruction","$259,864,624",20418,1,"$12,727"
"Bridgeport School District","=""0150011""","Support services - students","$20,269,519",19709,2,"$1,028"
"Bridgeport School District","=""0150011""","Support services - instruction","$5,152,020",19709,2,"$261"
"Bridgeport School District","=""0150011""","Support services - general administration","$2,801,094",19709,2,"$142"
"Bridgeport School District","=""0150011""","Support services - school based administration","$19,731,641",19709,2,"$1,001"
"Bridgeport School District","=""0150011""","Central and other support services","$17,242,639",19709,2,"$875"
"Bridgeport School District","=""0150011""","Operation and maintenance of plant","$31,240,272",19709,2,"$1,585"
"Bridgeport School District","=""0150011""","Student transportation services","$28,999,360",11480,3,"$2,526"
"Bridgeport School District","=""0150011""","Food services","$0",19709,2,"$0"
"Bridgeport School District","=""0150011""","Enterprise operations","$1,047,842",19709,2,"$53"
"Bridgeport School District","=""0150011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Total","$386,349,011",20418,1,"$18,922"
"Bristol School District","=""0170011""","Instruction","$115,190,536",8091,1,"$14,237"
"Bristol School District","=""0170011""","Support services - students","$7,616,508",7651,2,"$995"
"Bristol School District","=""0170011""","Support services - instruction","$6,741,616",7651,2,"$881"
"Bristol School District","=""0170011""","Support services - general administration","$1,965,635",7651,2,"$257"
"Bristol School District","=""0170011""","Support services - school based administration","$6,539,678",7651,2,"$855"
"Bristol School District","=""0170011""","Central and other support services","$5,418,209",7651,2,"$708"
"Bristol School District","=""0170011""","Operation and maintenance of plant","$11,820,568",7651,2,"$1,545"
"Bristol School District","=""0170011""","Student transportation services","$10,928,460",6388,3,"$1,711"
"Bristol School District","=""0170011""","Food services","$0",7651,2,"$0"
"Bristol School District","=""0170011""","Enterprise operations","$2,732,203",7651,2,"$357"
"Bristol School District","=""0170011""","Minor school construction","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Total","$168,953,413",8091,1,"$20,882"
"Brookfield School District","=""0180011""","Instruction","$33,504,569",2631,1,"$12,735"
"Brookfield School District","=""0180011""","Support services - students","$4,187,920",2569,2,"$1,630"
"Brookfield School District","=""0180011""","Support services - instruction","$2,334,428",2569,2,"$909"
"Brookfield School District","=""0180011""","Support services - general administration","$1,298,187",2569,2,"$505"
"Brookfield School District","=""0180011""","Support services - school based administration","$3,032,157",2569,2,"$1,180"
"Brookfield School District","=""0180011""","Central and other support services","$1,998,151",2569,2,"$778"
"Brookfield School District","=""0180011""","Operation and maintenance of plant","$3,257,377",2569,2,"$1,268"
"Brookfield School District","=""0180011""","Student transportation services","$4,484,582",2675,3,"$1,676"
"Brookfield School District","=""0180011""","Food services","$0",2569,2,"$0"
"Brookfield School District","=""0180011""","Enterprise operations","$912,031",2569,2,"$355"
"Brookfield School District","=""0180011""","Minor school construction","N/A","N/A","N/A","N/A"
"Brookfield School District","=""0180011""","Total","$55,009,402",2631,1,"$20,908"
"Brooklyn School District","=""0190011""","Instruction","$16,919,280",1198,1,"$14,123"
"Brooklyn School District","=""0190011""","Support services - students","$1,680,542",874,2,"$1,923"
"Brooklyn School District","=""0190011""","Support services - instruction","$254,629",874,2,"$291"
"Brooklyn School District","=""0190011""","Support services - general administration","$543,723",874,2,"$622"
"Brooklyn School District","=""0190011""","Support services - school based administration","$883,215",874,2,"$1,011"
"Brooklyn School District","=""0190011""","Central and other support services","$445,850",874,2,"$510"
"Brooklyn School District","=""0190011""","Operation and maintenance of plant","$1,136,355",874,2,"$1,300"
"Brooklyn School District","=""0190011""","Student transportation services","$1,143,550",1240,3,"$922"
"Brooklyn School District","=""0190011""","Food services","$0",874,2,"$0"
"Brooklyn School District","=""0190011""","Enterprise operations","$50,190",874,2,"$57"
"Brooklyn School District","=""0190011""","Minor school construction","N/A","N/A","N/A","N/A"
"Brooklyn School District","=""0190011""","Total","$23,057,334",1198,1,"$19,247"
"Canaan School District","=""0210011""","Instruction","$1,717,320",81,1,"$21,201"
"Canaan School District","=""0210011""","Support services - students","$100,003",80,2,"$1,250"
"Canaan School District","=""0210011""","Support services - instruction","$105,825",80,2,"$1,323"
"Canaan School District","=""0210011""","Support services - general administration","$89,978",80,2,"$1,125"
"Canaan School District","=""0210011""","Support services - school based administration","$247,564",80,2,"$3,095"
"Canaan School District","=""0210011""","Central and other support services","$61,761",80,2,"$772"
"Canaan School District","=""0210011""","Operation and maintenance of plant","$282,779",80,2,"$3,535"
"Canaan School District","=""0210011""","Student transportation services","$174,057",79,3,"$2,203"
"Canaan School District","=""0210011""","Food services","$0",80,2,"$0"
"Canaan School District","=""0210011""","Enterprise operations","$0",80,2,"$0"
"Canaan School District","=""0210011""","Minor school construction","N/A","N/A","N/A","N/A"
"Canaan School District","=""0210011""","Total","$2,779,284",81,1,"$34,312"
"Canterbury School District","=""0220011""","Instruction","$9,199,893",646,1,"$14,241"
"Canterbury School District","=""0220011""","Support services - students","$652,991",477,2,"$1,369"
"Canterbury School District","=""0220011""","Support services - instruction","$74,381",477,2,"$156"
"Canterbury School District","=""0220011""","Support services - general administration","$311,291",477,2,"$653"
"Canterbury School District","=""0220011""","Support services - school based administration","$585,734",477,2,"$1,228"
"Canterbury School District","=""0220011""","Central and other support services","$196,067",477,2,"$411"
"Canterbury School District","=""0220011""","Operation and maintenance of plant","$1,342,683",477,2,"$2,815"
"Canterbury School District","=""0220011""","Student transportation services","$933,009",678,3,"$1,376"
"Canterbury School District","=""0220011""","Food services","$0",477,2,"$0"
"Canterbury School District","=""0220011""","Enterprise operations","$26,542",477,2,"$56"
"Canterbury School District","=""0220011""","Minor school construction","N/A","N/A","N/A","N/A"
"Canterbury School District","=""0220011""","Total","$13,322,593",646,1,"$20,623"
"Canton School District","=""0230011""","Instruction","$19,442,469",1527,1,"$12,732"
"Canton School District","=""0230011""","Support services - students","$3,243,286",1483,2,"$2,187"
"Canton School District","=""0230011""","Support services - instruction","$2,239,630",1483,2,"$1,510"
"Canton School District","=""0230011""","Support services - general administration","$1,045,157",1483,2,"$705"
"Canton School District","=""0230011""","Support services - school based administration","$1,917,933",1483,2,"$1,293"
"Canton School District","=""0230011""","Central and other support services","$1,436,374",1483,2,"$969"
"Canton School District","=""0230011""","Operation and maintenance of plant","$2,827,464",1483,2,"$1,907"
"Canton School District","=""0230011""","Student transportation services","$2,202,928",1301,3,"$1,693"
"Canton School District","=""0230011""","Food services","$57,278",1483,2,"$39"
"Canton School District","=""0230011""","Enterprise operations","$721,669",1483,2,"$487"
"Canton School District","=""0230011""","Minor school construction","N/A","N/A","N/A","N/A"
"Canton School District","=""0230011""","Total","$35,134,189",1527,1,"$23,009"
"Capital Preparatory Harbor School District","=""2970013""","Instruction","$4,211,569",781,1,"$5,393"
"Capital Preparatory Harbor School District","=""2970013""","Support services - students","$364,202",781,2,"$466"
"Capital Preparatory Harbor School District","=""2970013""","Support services - instruction","$331,388",781,2,"$424"
"Capital Preparatory Harbor School District","=""2970013""","Support services - general administration","$197,380",781,2,"$253"
"Capital Preparatory Harbor School District","=""2970013""","Support services - school based administration","$1,439,590",781,2,"$1,843"
"Capital Preparatory Harbor School District","=""2970013""","Central and other support services","$1,759,611",781,2,"$2,253"
"Capital Preparatory Harbor School District","=""2970013""","Operation and maintenance of plant","$1,545,809",781,2,"$1,979"
"Capital Preparatory Harbor School District","=""2970013""","Student transportation services","$399,569",413,3,"$967"
"Capital Preparatory Harbor School District","=""2970013""","Food services","$0",781,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Enterprise operations","$0",781,2,"$0"
"Capital Preparatory Harbor School District","=""2970013""","Minor school construction","N/A","N/A","N/A","N/A"
"Capital Preparatory Harbor School District","=""2970013""","Total","$10,249,117",781,1,"$13,123"
"Capitol Region Education Council","=""2410014""","Instruction","$128,189,821",9184,1,"$13,958"
"Capitol Region Education Council","=""2410014""","Support services - students","$36,682,847",9184,2,"$3,994"
"Capitol Region Education Council","=""2410014""","Support services - instruction","$9,326,640",9184,2,"$1,016"
"Capitol Region Education Council","=""2410014""","Support services - general administration","$7,099,467",9184,2,"$773"
"Capitol Region Education Council","=""2410014""","Support services - school based administration","$20,551,341",9184,2,"$2,238"
"Capitol Region Education Council","=""2410014""","Central and other support services","$17,941,606",9184,2,"$1,954"
"Capitol Region Education Council","=""2410014""","Operation and maintenance of plant","$31,653,461",9184,2,"$3,447"
"Capitol Region Education Council","=""2410014""","Student transportation services","$31,250,611",6559,3,"$4,765"
"Capitol Region Education Council","=""2410014""","Food services","$0",9184,2,"$0"
"Capitol Region Education Council","=""2410014""","Enterprise operations","$0",9184,2,"$0"
"Capitol Region Education Council","=""2410014""","Minor school construction","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Total","$282,695,794",9184,1,"$30,781"
"Chaplin School District","=""0240011""","Instruction","$2,465,064",167,1,"$14,761"
"Chaplin School District","=""0240011""","Support services - students","$263,510",154,2,"$1,711"
"Chaplin School District","=""0240011""","Support services - instruction","$538,082",154,2,"$3,494"
"Chaplin School District","=""0240011""","Support services - general administration","$134,371",154,2,"$873"
"Chaplin School District","=""0240011""","Support services - school based administration","$213,666",154,2,"$1,387"
"Chaplin School District","=""0240011""","Central and other support services","$109,702",154,2,"$712"
"Chaplin School District","=""0240011""","Operation and maintenance of plant","$437,546",154,2,"$2,841"
"Chaplin School District","=""0240011""","Student transportation services","$283,249",110,3,"$2,575"
"Chaplin School District","=""0240011""","Food services","$41,616",154,2,"$270"
"Chaplin School District","=""0240011""","Enterprise operations","$0",154,2,"$0"
"Chaplin School District","=""0240011""","Minor school construction","N/A","N/A","N/A","N/A"
