"Find School/District Results"
"Your search returned         2334 result(s)."

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","School Type","Inter-District Magnet","NCES Code","Designated High School","Agricultural Science and Technology (ASTE)","Title I Type","State Board of Education Approved","For Profit","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Colleges and Universities",,="5830038","CT State Community College- Norwalk Campus","188 Richards Ave.","Norwalk","CT",="06854","203-857-7000",,"https://ctstate.edu/locations/norwalk",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5840038","CT State Community College- Quinebaug Valley Campus","742 Upper Maple St.","Danielson","CT",="06239","860-412-7200",,"https://ctstate.edu/locations/quinebaug-valley",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5860038","CT State Community College- Three Rivers Campus","7 Mahan Dr.","Norwich","CT",="06360","860-886-0177",,"https://ctstate.edu/locations/three-rivers",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="5850038","CT State Community College- Tunxis Campus","271 Scott Swamp Rd.","Farmington","CT",="06032","860-255-3500",,"https://ctstate.edu/locations/tunxis",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8420161","Camphill Special Schools, Inc","1784 Fairview Road","Glenmore","PA",="19343","610-469-9236",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Adult Education Providers",,="0640517","Capital Community College","950 Main Street","Hartford","CT",="06103","860-906-5132","860-906-5110","http://www.ccc.commnet.edu",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Adult Education Providers",,="0150517","Career Resources","350 Fairfield Avenue","Bridgeport","CT",="06604","203-953-3256","203-382-8466",,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8252721","Center School-Chicopee","84th 2nd Ave","Chicopee","MA",="01020","413-420-0105",,"http://https://www.positiveregard.com/center-school","Standard Non-Public",,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8252021","Center for Applied Behavioral Instruction (CABI)","345 Greenwood Street","Worcester","MA",="01607","508-363-0201",,"https://cabiautism.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8363361","Center for Discovery (Sullivan Diagnostic Treatment Center)","PO Box 840 Benmosche Road","Harris","NY",="12742","845-794-1400",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="7010038","Central Connecticut State University","1615 Stanley St.","New Britian","CT",="06050","860-832-3200",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8361621","Cerebral Palsy Westchester","1186 King Street","Ryebrook","NY",="10573","914-937-3800",,"http://cpwestchester.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8251361","Chamberlain International School","1 Pleasant Street P.O.Box 778","Middleboro","MA",="02346","508-947-7825",,"https://chamberlainschool.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8290121","Change Academy Lake of the Ozarks (CALO)","130 CALO Lane","Lake Ozark","MO",="65049","877-879-2256",,"http://caloteens.com","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1"
"Colleges and Universities",,="7050138","Charter Oak State College","55 Paul Manafort Dr.","New Britain","CT",="06053","860-515-3800",,"https://www.charteroak.edu/certificates/ece_arc.php",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8441021","Child Inc.","160 Draper Rd","Warwick","RI",="02889","401-732-5200",,"https://childincri.org/","Standard Non-Public",,,,,No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Private Colleges and Universities",,="1030039","Clemens College","1760 Mapleton Ave.","Suffield","CT",="06078","860-668-3515",,"http://www.norwalk.k12.ct.us/",,,,,="0903090",No,No,,No,No,,,,,,,,,,,,,,
"Adult Education Providers",,="0640717","Co-opportunity Inc.","20-28 Sargeant Street","Hartford","CT",="06106","860-236-3617","860-808-1757","http://www.",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1040039","Connecticut College","270 Mohegan Ave.","New London","CT",="06320","860-447-1911",,"http://www.norwichpublicschools.org",,,,,="0903120",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8253461","Curtis Blake School","1913 Northampton Street","Holyoke","MA",="01040","413-533-9500","413-533-5595","https://www.positiveregard.com/general-2-1","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="0",="0"
"Nonpublic Elementary and Secondary Schools",,="8251421","Devereux Advanced Behavioral Health","60 Miles Road, P.O.Box 219","Rutland","MA",="01543","508-886-4746",,"http://www.devereuxma.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8250321","Eagle Hill School","242 Old Petersham Road","Hardwick","MA",="01037","413-477-6000",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="7020038","Eastern Connecticut State University","83 Windham St.","Willimantic","CT",="06226","860-465-5000",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8251261","Evergreen Center School","345 Fortune Blvd","Milford","MA",="01757","508-478-2631",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1050039","Fairfield University","1073 North Benson Rd.","Fairfield","CT",="06824","203-254-4000",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8120121","Florida Institute for Neurologic Rehabilitation, Inc.","1962 Vandolah Road","Wauchula","FL",="33873","863-773-2857",,"http://www.finr.net/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Private Colleges and Universities",,="5420039","Goodwin University","745 Burnside Ave.","East Hartford","CT",="06108","860-528-4111",,"http://www.goodwin.edu/",,,,,="0903180",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8360621","Gow School","2491 Emery Road PO Box 85","South Wales","NY",="14139","716-652-3450",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8360561","Green Chimneys School-Brewster","400 Doansburg Road","Brewster","NY",="10509","845-279-2996",,"https://www.greenchimneys.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8361321","Green Chimneys – Clearpool","33 Clearpool Road","Clearpool-Carmel","NY",="10512","845-225-8226",,"https://www.greenchimneys.org/community-programs-services/summer-camps/clearpool-camp/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8440161","Groden Center","86 Mount Hope Avenue","Providence","RI",="02906","401-274-6310",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8440261","Harmony Hill","63 Harmony Hill","Chepachet","RI",="02814","401-949-0690",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Adult Education Providers",,="0640817","Hartford Public Library","500 Main Street","Hartford","CT",="06103","860-695-6334",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1070039","Hartford Seminary","77 Sherman St.","Hartford","CT",="06105","860-509-9500",,"http://www.oess.org",,,,,="0903210",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8251561","Hillcrest Education Centers - Hillcrest Center","349 Old Stockbridge Rd.","Lenox","MA",="01240","413-637-2834",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1080039","Holy Apostles College and Seminary","33 Prospect Hill Rd.","Cromwell","CT",="06416","860-632-3010",,"https://holyapostles.edu/",,,,,="0903240",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8251821","Judge Rotenberg Educational Center","250 Turnpike Street","Canton","MA",="02021","781-828-2202",,"https://www.judgerc.org/","Standard Non-Public",,,,,No,No,,No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8251761","Justice Resource Institute - Berkshire Meadows","249 North Plain Rd","Housatonic","MA",="01236","413-528-2523",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8251621","Justice Resource Institute-Littleton Academy","22 King Street","Littleton","MA",="01460","978-952-6809",,"https://jri.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8256361","Justice Resource Institute-Meadowridge Behavioral Health Center","664 Stevens Road","Swansea","MA",="02777","508-677-0304",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8252061","Latham School","1646 Route 6a PO Box 1879","Brewster","MA",="02631","508-896-5776",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1090039","Legion of Christ College of Humanities","475 Oak Ave.","Cheshire","CT",="06410","203-271-0805",,"http://www.plainfieldschools.org",,,,,="0903270",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1100039","Lincoln College of New England","2279 Mt Vernon Rd","Southington","CT",="06489","(860) 628-4751",,"https://www.lincolncollegene.edu/",,,,,="0903300",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1110039","Lyme Academy College of Fine Arts","84 Lyme St.","Old Lyme","CT",="06371","860-434-5232",,"http://plymouth.k12.ct.us/",,,,,="0903330",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8251521","May Center for Brain Injury & Neurobehavioral Disorders","596 Summer Street","Brockton","MA",="02302","508-588-8800",,"https://www.mayinstitute.org/brain-injury-school/brockton/index.html","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8252121","May Institute Chicopee","2024 Westover Road","Chicopee","MA",="01022","413-377-1450",,"https://www.mayinstitute.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8255961","May Institute Randolph","41 Pacella Park Drive","Randolph","MA",="02368","781-437-1432",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8255861","May Institute West Springfield","511 Main Street","West Springfield","MA",="01089","413-785-5462",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8252361","Melmark New England","461 River Road","Andover","MA",="01810","978-654-4300",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Adult Education Providers",,="0150617","Mercy Learning Center","637 Park Avenue","Bridgeport","CT",="06604","203-334-6699","203-332-6852","http://www.mercylearningcenter.org",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8253021","Mill Pond School- Springfield","91 Old Acre Road","Springfield","MA",="01129","413-433-1847",,"https://helixhumanservices.org/programs/mill-pond-schools-springfield/","Standard Non-Public",,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Private Colleges and Universities",,="1120039","Mitchell College","437 Pequot Ave.","New London","CT",="06320","860-701-5000",,"http://www.pomfret.ctschool.net",,,,,="0903360",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8252461","NECC - New England Center for Children","33 Turnpike Rd","Southboro","MA",="01772","508-481-1015",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Adult Education Providers",,="2480317","NW CT Community College","Park Place","Winsted","CT",="06098","860-738-6351","860-738-6327",,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8330321","Oliverian School","28 Becket Drive","Pike","NH",="03780","603-989-5100",,"http://www.oliverianschool.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8362621","PNW BOCES- Yorktown Heights","200 BOCES dr","Yorktown Heights","NY",="10598","914-245-2700",,"https://www.pnwboces.org/Tech/Home.aspx","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Private Colleges and Universities",,="1130039","Paier College of Art","20 Gorham Ave.","Hamden","CT",="06514","203-287-3031",,"http://www.portlandctschools.org",,,,,="0903390",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8440821","Pathways Strategic Teaching Center","250 Common Wealth Avenue","Warwick","RI",="02886","401-615-2775",,"https://trudeaucenter.org/pathways-strategic-teaching-center/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8252561","Perkins School for the Blind","175 North Beacon St","Watertown","MA",="02472","617-972-7200",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1140039","Post University","800 Country Club Rd.  P.O. Box 2540","Waterbury","CT",="06723","203-596-4500",,"http://www.prestonschools.org",,,,,="0903420",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1150039","Quinnipiac University","275 Mt. Carmel Ave.","Hamden","CT",="06518","203-582-8200",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1160039","Rensselaer at Hartford","275 Windsor St.","Hartford","CT",="06120","860-548-2400",,"http://www.putnam.k12.ct.us/",,,,,="0903480",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8255361","Riverview School","551 Route 6A","East Sandwich","MA",="02537","508-888-0489",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Public Schools",,="8259014","S.W.C.E.C. - Grow School","#185 Route 131","Dudley","MA",="01571","508-764-8500",,,,,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8362821","SW Boces Center for Special Services - Rye Lower Lake Campus","1606 Old Orchard Street","White Plains","NY",="10604","914-948-7271",,"https://specialservices.swboces.org","Standard Non-Public",,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Private Colleges and Universities",,="1170039","Sacred Heart University","5151 Park Ave.","Fairfield","CT",="06825","203-371-7999",,"http://www.er9.org/",,,,,="0903510",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1180039","Sanford-Brown College",,,,,"xxx-x-",,"http://www.ridgefield.org",,,,,="0903810",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8440621","Sargent Rehabilitation Center","800 Quaker Lane","Warwick","RI",="02818","401-886-6600",,"http://sargentcenter.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8362021","Shrub Oak International School","3151 Stoney Street","Mohegan Lake","NY",="10547","914-885-1995",,"http://www.shruboak.org/about/program-options/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Colleges and Universities",,="7030038","Southern Connecticut State University","501 Crescent St.","New Haven","CT",="06515","203-392-5200",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1190039","St. Basil College","195 Glenbrook Rd.","Stamford","CT",="06902","203-324-4578",,"http://www.rockyhillps.com/",,,,,="0903840",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1210039","St. Thomas Seminary","467 Bloomfield Ave.","Bloomfield","CT",="06002","860-892-1223",,"http://www.salemschools.org",,,,,="0903900",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1220039","St. Vincent's College","2800 Main St.","Bridgeport","CT",="06606","203-576-5278",,"http://www.salisburycentral.org",,,,,="0903930",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1230039","Talmudic Institute of Connecticut",,,,,"xxx-xx-",,"http://www.scotlandschool.org",,,,,="0903960",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8252521","Tate Behavior Health","116 Pleasant St","Easthampton","MA",="01027","413-779-4023",,"https://www.tatebehavioral.com/","Standard Non-Public",,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Private Colleges and Universities",,="1240039","The Graduate Institute","701 North Street","Milford","CT",="06461","203-874-4252",,"http://www.seymourschools.org/",,,,,="0903990",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8252821","The Guild School","521 Virginia Rd","Concord","MA",="01742","781-893-6000",,"https://www.guildhumanservices.org/guild-school","Standard Non-Public",,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8363461","The Westchester School-North Salem Campus","520 Route 22","North Salem","NY",="10560","914-277-5533",,"https://www.westchesterschool.org/page/our-schools","Standard Non-Public",,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools",,="8361421","The Westchester School-Yonkers Campus","45 Park Avenue","Yonkers","NY",="10703","914-376-4300",,"http://www.westchesterschool.org/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Private Colleges and Universities",,="1250039","Trinity College","300 Summit St.","Hartford","CT",="06106","860-297-2000",,"http://www.sharoncenterschool.org",,,,,="0904020",No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="6000038","U. S. Coast Guard Academy","31 Mohegan Ave.","New London","CT",="06320","860-444-8444",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1260039","University of Bridgeport","126 Park Ave.","Bridgeport","CT",="06604","203-576-4000",,"http://www.sheltonpublicschools.org/",,,,,="0904050",No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="9470038","University of Connecticut","2131 Hillside Rd.,   Unit #3088","Storrs","CT",="06269","860-486-2000",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1270039","University of Hartford","200 Bloomfield Ave.","West Hartford","CT",="06117","860-768-4100",,"http://shermanschool.com",,,,,="0904080",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1280039","University of New Haven","300 Boston Post Rd.","West Haven","CT",="06516","203-932-7000",,"http://www.simsbury.k12.ct.us",,,,,="0904110",No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1200039","University of St. Joseph","1678 Asylum Ave.","West Hartford","CT",="06117","860-232-4571",,"https://www.usj.edu/",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8250521","Valley View School","91 Oakham Road","North Brookfield","MA",="01535","508-867-6505",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8252621","Valley West School","269 Moore St","Chicopee","MA",="01013","413-592-6069",,"https://www.valleywestschool.com/","Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Schools",,="5911000","Webster School","2519 Elm St","Manchester","NH",="03104","603-624-6344",,"https://webster.mansd.org/",,,"Traditional/General Education",,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1290039","Wesleyan University","237 High St.","Middletown","CT",="06459","860-685-2000",,"http://www.somers.k12.ct.us/",,,,,="0904140",No,No,,No,No,,,,,,,,,,,,,,
"Colleges and Universities",,="7040038","Western Connecticut State University","181 White St.","Danbury","CT",="06810","203-837-8200",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8253561","White Oak School","533 North Road","Westfield","MA",="01085","413-562-9500",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8254061","Whitney Academy School.","85 Drive Braley Road PO Box 619","East Freestone","MA",="02717","508-763-3737",,,"Standard Non-Public",,,,,No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,="8251121","Willie Ross School For Deaf","32 Norway Street","Longmeadow","MA","01106-3198","413-567-8808",,"http://profiles.doe.mass.edu/profiles/general.aspx","Standard Non-Public",,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Adult Education Providers",,="0800317","Women and Families","169 Colony Street","Meriden","CT",="06451","203-235-9297","203-237-7571",,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Private Colleges and Universities",,="1300039","Yale University","P.O. Box 208279","New Haven","CT",="06520","203-432-4771",,,,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Public Charter Schools","Achievement First Bridgeport Academy District",="2850113","Achievement First Bridgeport Academy","655 Stillman St.","Bridgeport","CT","06608-1331","203-338-0593","203-338-0714","https://www.achievementfirst.org/schools/connecticut/",,,"Charter School",,="090020801493",No,No,"Schoolwide",No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Charter School Districts","Achievement First Bridgeport Academy District",="2850013","Achievement First Bridgeport Academy District","470 James Street, Suite 007","New Haven","CT",="06513","203-773-3223",,"https://www.achievementfirst.org/schools/connecticut/",,,,,="0900208",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter Schools","Achievement First Hartford Academy District",="2880113","Achievement First Hartford Academy","305 Greenfield Street","Hartford","CT",="06112","860-695-6685","860-760-6754","https://www.achievementfirst.org/schools/connecticut/",,,"Charter School",,="090021201528",No,No,"Schoolwide",No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
