GeoName|GeoId|CDP02_53_EST|CDP02_53_ESTMOE|CDP02_53_PCT|CDP02_53_PCTMOE|CDP02_54_EST|CDP02_54_ESTMOE|CDP02_54_PCT|CDP02_54_PCTMOE|CDP02_57_EST|CDP02_57_ESTMOE|CDP02_57_PCT|CDP02_57_PCTMOE|CDP02_59_EST|CDP02_59_ESTMOE|CDP02_59_PCT|CDP02_59_PCTMOE|CDP02_61_EST|CDP02_61_ESTMOE|CDP02_61_PCT|CDP02_61_PCTMOE|CDP02_63_EST|CDP02_63_ESTMOE|CDP02_63_PCT|CDP02_63_PCTMOE
Williamsburg Community School District, IA|1931680|920|111|-888888888|-888888888|905|116|98.4|2.7|15|25|1.6|2.7|0|15|-888888888|2.7|0|15|-888888888|2.7|0|15|-888888888|2.7
Wilton Community School District, IA|1931800|590|156|-888888888|-888888888|590|156|100|4.1|0|10|-888888888|4.1|0|10|-888888888|4.1|0|10|-888888888|4.1|0|10|-888888888|4.1
Winfield-Mount Union Community School District, IA|1931830|315|89|-888888888|-888888888|310|87|98.4|4.5|4|13|1.3|5.1|0|10|-888888888|7.6|0|10|-888888888|7.6|0|10|-888888888|7.6
Winterset Community School District, IA|1931860|2195|199|-888888888|-888888888|2160|206|98.4|1.9|0|16|-888888888|1.1|35|41|1.6|1.9|0|16|-888888888|1.1|0|16|-888888888|1.1
Woodbine Community School District, IA|1931920|490|121|-888888888|-888888888|490|121|100|5|0|10|-888888888|5|0|10|-888888888|5|0|10|-888888888|5|0|10|-888888888|5
Woodbury Central Community School District, IA|1931950|535|119|-888888888|-888888888|515|117|96.3|3.3|10|8|1.9|2|10|12|1.9|2.3|0|10|-888888888|4.6|0|10|-888888888|4.6
Woodward-Granger Community School District, IA|1932010|1170|230|-888888888|-888888888|1165|229|99.6|0.7|0|15|-888888888|2.1|0|15|-888888888|2.1|4|7|0.3|0.6|0|15|-888888888|2.1
Abilene Unified School District 435, KS|2003180|1675|252|-888888888|-888888888|1625|244|97|3|25|27|1.5|1.7|30|42|1.8|2.4|0|16|-888888888|1.8|0|16|-888888888|1.8
Altoona-Midway Unified School District 387, KS|2004170|215|83|-888888888|-888888888|215|83|100|13|4|3|1.9|3.7|0|11|-888888888|13|0|11|-888888888|13|0|11|-888888888|13
Andover Unified School District 385, KS|2003360|7095|740|-888888888|-888888888|6255|731|88.2|3.9|330|157|4.7|2.2|20|30|0.3|0.4|345|171|4.9|2.4|135|135|1.9|1.9
Anthony-Harper Unified School District 361, KS|2003390|945|98|-888888888|-888888888|925|96|97.9|2.8|20|28|2.1|2.8|0|11|-888888888|3.1|0|11|-888888888|3.1|0|11|-888888888|3.1
Arkansas City Unified School District 470, KS|2003450|2920|250|-888888888|-888888888|2580|290|88.4|7|340|207|11.6|7|0|18|-888888888|1|0|18|-888888888|1|0|18|-888888888|1
Atchison County Community Schools Unified School District 377, KS|2005700|760|150|-888888888|-888888888|740|144|97.4|3.1|10|15|1.3|2|10|19|1.3|2.5|0|11|-888888888|3.9|0|11|-888888888|3.9
Atchison Public Schools Unified School District 409, KS|2003540|2125|161|-888888888|-888888888|2065|159|97.2|2.5|50|52|2.4|2.4|4|12|0.2|0.6|0|18|-888888888|1.4|0|18|-888888888|1.4
Attica Unified School District 511, KS|2003570|230|95|-888888888|-888888888|225|94|97.8|5|4|3|1.7|3.7|0|11|-888888888|12.2|0|11|-888888888|12.2|0|11|-888888888|12.2
Auburn-Washburn Unified School District 437, KS|2003200|7390|742|-888888888|-888888888|7020|691|95|4.2|290|316|3.9|4.2|30|47|0.4|0.6|45|40|0.6|0.6|0|24|-888888888|0.4
Augusta Unified School District 402, KS|2003630|2060|349|-888888888|-888888888|2030|345|98.5|1.6|30|33|1.5|1.6|0|18|-888888888|1.4|0|18|-888888888|1.4|0|18|-888888888|1.4
Baldwin City Unified School District 348, KS|2003720|1630|306|-888888888|-888888888|1585|312|97.2|3.4|15|22|0.9|1.4|0|16|-888888888|1.8|30|49|1.8|3.1|0|16|-888888888|1.8
Barber County North Unified School District 254, KS|2009450|520|106|-888888888|-888888888|495|109|95.2|7|10|26|1.9|5.3|0|11|-888888888|5.6|15|22|2.9|4.2|0|11|-888888888|5.6
Barnes Unified School District 223, KS|2000012|400|91|-888888888|-888888888|375|89|93.8|6.9|25|23|6.3|5.8|4|4|1|1.7|0|11|-888888888|7.2|0|11|-888888888|7.2
Basehor-Linwood Unified School District 458, KS|2003780|3185|375|-888888888|-888888888|3070|376|96.4|2.6|65|64|2|2|0|18|-888888888|0.9|30|44|0.9|1.4|15|28|0.5|0.9
Baxter Springs Unified School District 508, KS|2003810|1085|222|-888888888|-888888888|1085|222|100|2.7|0|11|-888888888|2.7|0|11|-888888888|2.7|0|11|-888888888|2.7|0|11|-888888888|2.7
Belle Plaine Unified School District 357, KS|2003900|570|185|-888888888|-888888888|525|191|92.1|10.4|45|56|7.9|10.4|0|11|-888888888|5.1|0|11|-888888888|5.1|0|11|-888888888|5.1
Beloit Unified School District 273, KS|2003870|800|94|-888888888|-888888888|800|94|100|3.7|0|11|-888888888|3.7|0|11|-888888888|3.7|0|11|-888888888|3.7|0|11|-888888888|3.7
Blue Valley Unified School District 229, KS|2012000|25660|1249|-888888888|-888888888|22670|1240|88.3|1.5|550|178|2.1|0.7|870|206|3.4|0.8|1390|247|5.4|1|180|97|0.7|0.4
Blue Valley Unified School District 384, KS|2010980|250|102|-888888888|-888888888|250|102|100|11.3|0|11|-888888888|11.3|0|11|-888888888|11.3|0|11|-888888888|11.3|0|11|-888888888|11.3
Bluestem Unified School District 205, KS|2008550|655|189|-888888888|-888888888|645|190|98.5|2|10|12|1.5|2.1|4|3|0.6|1.3|0|11|-888888888|4.5|0|11|-888888888|4.5
Bonner Springs Unified School District 204, KS|2004050|3020|373|-888888888|-888888888|2600|338|86.1|7.5|230|146|7.6|4.6|175|199|5.8|6.4|20|29|0.7|1|0|18|-888888888|1
Brewster Unified School District 314, KS|2004080|155|95|-888888888|-888888888|155|95|100|17.5|4|3|2.6|6.3|0|11|-888888888|17.5|0|11|-888888888|17.5|0|11|-888888888|17.5
Bucklin Unified School District 459, KS|2004140|220|99|-888888888|-888888888|220|99|100|12.7|0|11|-888888888|12.7|0|11|-888888888|12.7|0|11|-888888888|12.7|0|11|-888888888|12.7
Buhler Unified School District 313, KS|2004200|2300|337|-888888888|-888888888|2280|337|99.1|0.9|10|13|0.4|0.6|0|18|-888888888|1.3|10|18|0.4|0.8|0|18|-888888888|1.3
Burlingame Public School Unified School District 454, KS|2004260|260|75|-888888888|-888888888|255|75|98.1|2.4|4|6|1.5|2.2|0|11|-888888888|10.9|0|11|-888888888|10.9|0|11|-888888888|10.9
Burlington Unified School District 244, KS|2004290|825|114|-888888888|-888888888|825|114|100|3.6|0|11|-888888888|3.6|0|11|-888888888|3.6|0|11|-888888888|3.6|0|11|-888888888|3.6
Burrton Unified School District 369, KS|2004350|280|87|-888888888|-888888888|280|87|100|10.2|0|11|-888888888|10.2|0|11|-888888888|10.2|0|11|-888888888|10.2|0|11|-888888888|10.2
Caldwell Unified School District 360, KS|2004380|305|74|-888888888|-888888888|305|74|100|9.4|0|11|-888888888|9.4|0|11|-888888888|9.4|0|11|-888888888|9.4|0|11|-888888888|9.4
Caney Valley Unified School District 436, KS|2004410|870|158|-888888888|-888888888|860|157|98.9|1.8|10|15|1.1|1.8|0|11|-888888888|3.4|0|11|-888888888|3.4|0|11|-888888888|3.4
Canton-Galva Unified School District 419, KS|2004440|475|121|-888888888|-888888888|475|121|100|6.1|0|11|-888888888|6.1|0|11|-888888888|6.1|0|11|-888888888|6.1|0|11|-888888888|6.1
Central Heights Unified School District 288, KS|2000014|435|110|-888888888|-888888888|410|103|94.3|8.2|30|36|6.9|8.1|0|11|-888888888|6.7|0|11|-888888888|6.7|0|11|-888888888|6.7
Central Plains Unified School District 112, KS|2000349|605|140|-888888888|-888888888|595|139|98.3|2.2|0|11|-888888888|4.8|10|12|1.7|2.2|0|11|-888888888|4.8|0|11|-888888888|4.8
Central Unified School District 462, KS|2004230|380|82|-888888888|-888888888|380|82|100|7.6|0|11|-888888888|7.6|0|11|-888888888|7.6|0|11|-888888888|7.6|0|11|-888888888|7.6
Centre Unified School District 397, KS|2008940|150|64|-888888888|-888888888|145|60|96.7|8|0|11|-888888888|18|4|11|2.7|9.6|0|11|-888888888|18|0|11|-888888888|18
Chanute Public Schools Unified School District 413, KS|2004590|2175|189|-888888888|-888888888|2165|191|99.5|0.8|4|10|0.2|0.6|0|18|-888888888|1.4|0|18|-888888888|1.4|0|18|-888888888|1.4
Chapman Unified School District 473, KS|2004620|885|200|-888888888|-888888888|845|197|95.5|6.4|45|58|5.1|6.4|0|16|-888888888|3.3|0|16|-888888888|3.3|0|16|-888888888|3.3
Chase County Unified School District 284, KS|2005250|455|32|-888888888|-888888888|440|40|96.7|4.3|15|19|3.3|4.3|0|11|-888888888|6.4|0|11|-888888888|6.4|0|11|-888888888|6.4
Chase-Raymond Unified School District 401, KS|2004650|195|75|-888888888|-888888888|185|74|94.9|10.7|15|20|7.7|10.6|0|11|-888888888|14.2|0|11|-888888888|14.2|0|11|-888888888|14.2
Chautauqua County Community Unified School District 286, KS|2011520|385|62|-888888888|-888888888|385|63|100|7.5|0|11|-888888888|7.5|4|10|1|2.5|0|11|-888888888|7.5|0|11|-888888888|7.5
Cheney Unified School District 268, KS|2004670|1005|168|-888888888|-888888888|1005|168|100|2.9|0|11|-888888888|2.9|0|11|-888888888|2.9|0|11|-888888888|2.9|0|11|-888888888|2.9
Cherokee Unified School District 247, KS|2004710|755|222|-888888888|-888888888|745|221|98.7|1.9|10|15|1.3|1.9|0|11|-888888888|3.9|0|11|-888888888|3.9|0|11|-888888888|3.9
Cherryvale Unified School District 447, KS|2004740|900|212|-888888888|-888888888|880|206|97.8|2.7|4|7|0.4|1|15|24|1.7|2.5|0|11|-888888888|3.3|0|11|-888888888|3.3
Chetopa-St. Paul Unified School District 505, KS|2004770|455|141|-888888888|-888888888|405|126|89|10.1|25|40|5.5|8.7|0|11|-888888888|6.4|25|32|5.5|6.9|0|11|-888888888|6.4
Cheylin Unified School District 103, KS|2004790|250|61|-888888888|-888888888|220|59|88|7.6|30|19|12|7.6|0|11|-888888888|11.3|0|11|-888888888|11.3|0|11|-888888888|11.3
Cimarron-Ensign Unified School District 102, KS|2004800|620|103|-888888888|-888888888|460|87|74.2|11.1|145|80|23.4|11.5|10|15|1.6|2.4|0|11|-888888888|4.7|0|11|-888888888|4.7
Circle Unified School District 375, KS|2012300|2105|366|-888888888|-888888888|1630|271|77.4|10.2|110|110|5.2|5.3|55|56|2.6|2.7|15|29|0.7|1.4|295|271|14|11.8
Clay Center Unified School District 379, KS|2004890|1490|103|-888888888|-888888888|1490|103|100|2|4|3|0.3|0.6|0|16|-888888888|2|0|16|-888888888|2|0|16|-888888888|2
Clearwater Unified School District 264, KS|2004920|1395|271|-888888888|-888888888|1375|271|98.6|1.5|15|20|1.1|1.5|4|6|0.3|0.4|0|16|-888888888|2.1|0|16|-888888888|2.1
Clifton-Clyde Unified School District 224, KS|2004950|425|115|-888888888|-888888888|425|115|100|6.8|4|3|0.9|1.6|0|11|-888888888|6.8|0|11|-888888888|6.8|0|11|-888888888|6.8
Coffeyville Unified School District 445, KS|2004980|1980|277|-888888888|-888888888|1785|282|90.2|4.5|160|77|8.1|4|4|8|0.2|0.4|30|40|1.5|2.1|0|18|-888888888|1.5
Colby Public Schools Unified School District 315, KS|2005010|1180|86|-888888888|-888888888|1110|77|94.1|4.7|70|57|5.9|4.7|0|16|-888888888|2.5|0|16|-888888888|2.5|0|16|-888888888|2.5
Columbus Unified School District 493, KS|2005070|1070|247|-888888888|-888888888|1010|221|94.4|5.1|60|61|5.6|5.1|0|16|-888888888|2.8|0|16|-888888888|2.8|0|16|-888888888|2.8
Comanche County Unified School District 300, KS|2005040|360|79|-888888888|-888888888|345|81|95.8|5.6|20|18|5.6|5.5|0|11|-888888888|8|0|11|-888888888|8|0|11|-888888888|8
Concordia Unified School District 333, KS|2005100|1150|122|-888888888|-888888888|1105|137|96.1|3.6|30|24|2.6|2.3|20|18|1.7|1.9|0|16|-888888888|2.6|0|16|-888888888|2.6
Conway Springs Unified School District 356, KS|2005130|630|173|-888888888|-888888888|630|173|100|4.6|0|11|-888888888|4.6|0|11|-888888888|4.6|0|11|-888888888|4.6|0|11|-888888888|4.6
Copeland Unified School District 476, KS|2005190|290|98|-888888888|-888888888|185|65|63.8|18.1|10|10|3.4|4.3|90|72|31|19.3|0|11|-888888888|9.8|0|11|-888888888|9.8
Crest Unified School District 479, KS|2008040|225|119|-888888888|-888888888|225|119|100|12.5|0|11|-888888888|12.5|0|11|-888888888|12.5|0|11|-888888888|12.5|0|11|-888888888|12.5
Cunningham Unified School District 332, KS|2005370|230|52|-888888888|-888888888|230|52|100|12.2|0|11|-888888888|12.2|0|11|-888888888|12.2|0|11|-888888888|12.2|0|11|-888888888|12.2
De Soto Unified School District 232, KS|2005490|9720|957|-888888888|-888888888|9430|909|97|1.6|180|136|1.9|1.3|75|82|0.8|0.8|15|15|0.2|0.2|25|44|0.3|0.5
Deerfield Unified School District 216, KS|2005400|285|125|-888888888|-888888888|150|86|52.6|20.8|135|89|47.4|20.8|0|11|-888888888|10|0|11|-888888888|10|0|11|-888888888|10
Derby Unified School District 260, KS|2005460|8030|740|-888888888|-888888888|7265|656|90.5|3.8|640|328|8|3.8|4|10|0|0.1|105|81|1.3|1|4|10|0|0.2
Dexter Unified School District 471, KS|2005520|265|159|-888888888|-888888888|260|159|98.1|4.3|4|3|1.5|3.1|0|11|-888888888|10.7|0|11|-888888888|10.7|0|11|-888888888|10.7
Dodge City Unified School District 443, KS|2005580|6920|134|-888888888|-888888888|2825|418|40.8|6|3980|423|57.5|6|0|24|-888888888|0.4|4|12|0.1|0.2|115|156|1.7|2.3
Doniphan West Unified School District 111, KS|2000348|300|65|-888888888|-888888888|300|65|100|9.5|4|3|1.3|2.9|0|11|-888888888|9.5|0|11|-888888888|9.5|0|11|-888888888|9.5
Douglass Public Schools Unified School District 396, KS|2005610|695|139|-888888888|-888888888|695|139|100|4.2|0|11|-888888888|4.2|0|11|-888888888|4.2|0|11|-888888888|4.2|0|11|-888888888|4.2
Durham-Hillsboro-Lehigh Unified School District 410, KS|2007290|825|110|-888888888|-888888888|810|112|98.2|1.9|4|6|0.5|0.9|0|11|-888888888|3.6|10|11|1.2|1.6|0|11|-888888888|3.6
Easton Unified School District 449, KS|2005640|520|200|-888888888|-888888888|515|199|99|1.7|0|11|-888888888|5.6|0|11|-888888888|5.6|4|5|0.8|1.3|0|11|-888888888|5.6
El Dorado Unified School District 490, KS|2005730|1920|277|-888888888|-888888888|1920|277|100|1.5|0|18|-888888888|1.5|0|18|-888888888|1.5|0|18|-888888888|1.5|0|18|-888888888|1.5
Elk Valley Unified School District 283, KS|2005760|160|66|-888888888|-888888888|160|66|100|17|0|11|-888888888|17|0|11|-888888888|17|0|11|-888888888|17|0|11|-888888888|17
Ell-Saline Unified School District 307, KS|2005800|320|97|-888888888|-888888888|310|95|96.9|7.1|4|5|1.3|1.8|0|11|-888888888|8.9|10|18|3.1|5.6|0|11|-888888888|8.9
Ellinwood Public Schools Unified School District 355, KS|2005820|525|159|-888888888|-888888888|525|159|100|5.6|0|11|-888888888|5.6|0|11|-888888888|5.6|0|11|-888888888|5.6|0|11|-888888888|5.6
Ellis Unified School District 388, KS|2005850|610|127|-888888888|-888888888|605|127|99.2|1.3|4|3|0.7|2.1|0|11|-888888888|4.8|4|7|0.7|1.3|0|11|-888888888|4.8
Ellsworth Unified School District 327, KS|2005870|610|94|-888888888|-888888888|605|94|99.2|1.6|0|11|-888888888|4.8|4|10|0.7|1.8|0|11|-888888888|4.8|0|11|-888888888|4.8
Emporia Unified School District 253, KS|2005940|4000|189|-888888888|-888888888|2905|316|72.6|6.2|1075|233|26.9|6|15|22|0.4|0.6|0|21|-888888888|0.7|0|21|-888888888|0.7
Erie Unified School District 101, KS|2006000|395|106|-888888888|-888888888|385|105|97.5|3.4|10|13|2.5|3.8|4|2|1|2.4|0|11|-888888888|7.3|0|11|-888888888|7.3
Eudora Unified School District 491, KS|2006090|1605|294|-888888888|-888888888|1605|294|100|1.8|0|16|-888888888|1.8|0|16|-888888888|1.8|0|16|-888888888|1.8|0|16|-888888888|1.8
Eureka Unified School District 389, KS|2006120|595|94|-888888888|-888888888|560|88|94.1|3.7|30|24|5|3.8|0|11|-888888888|4.9|4|5|0.7|1.1|0|11|-888888888|4.9
Fairfield Unified School District 310, KS|2008310|315|55|-888888888|-888888888|315|55|100|9.1|0|11|-888888888|9.1|0|11|-888888888|9.1|0|11|-888888888|9.1|0|11|-888888888|9.1
Flinthills Unified School District 492, KS|2011220|250|89|-888888888|-888888888|250|89|100|11.3|4|4|1.6|2.7|0|11|-888888888|11.3|0|11|-888888888|11.3|0|11|-888888888|11.3
Fort Larned Unified School District 495, KS|2008370|720|138|-888888888|-888888888|685|146|95.1|5.6|35|39|4.9|5.6|0|16|-888888888|4.1|0|16|-888888888|4.1|0|16|-888888888|4.1
Fort Leavenworth Unified School District 207, KS|2006330|1715|257|-888888888|-888888888|1415|266|82.5|8.8|160|131|9.3|7.6|45|52|2.6|3|70|79|4.1|4.6|25|38|1.5|2.3
Fort Scott Unified School District 234, KS|2006180|2005|190|-888888888|-888888888|1970|187|98.3|1.8|0|18|-888888888|1.5|30|35|1.5|1.8|0|18|-888888888|1.5|0|18|-888888888|1.5
Fredonia Unified School District 484, KS|2006270|715|128|-888888888|-888888888|705|126|98.6|1.8|4|10|0.6|1.8|0|11|-888888888|4.1|0|11|-888888888|4.1|4|2|0.6|1.4
Frontenac Public Schools Unified School District 249, KS|2006300|605|158|-888888888|-888888888|605|158|100|4.8|0|11|-888888888|4.8|0|11|-888888888|4.8|0|11|-888888888|4.8|0|11|-888888888|4.8
Garden City Unified School District 457, KS|2006390|7580|301|-888888888|-888888888|3920|586|51.7|6.9|3035|495|40|6.9|75|57|1|0.8|295|137|3.9|1.8|255|133|3.4|1.7
Gardner Edgerton Unified School District 231, KS|2006420|6390|507|-888888888|-888888888|5860|517|91.7|4|185|124|2.9|1.9|210|201|3.3|3.1|90|63|1.4|1|45|48|0.7|0.8
Garnett Unified School District 365, KS|2006450|1340|140|-888888888|-888888888|1300|145|97|3.3|0|16|-888888888|2.2|40|44|3|3.3|0|16|-888888888|2.2|0|16|-888888888|2.2
Geary County Schools Unified School District 475, KS|2007890|7600|274|-888888888|-888888888|6800|404|89.5|4|575|281|7.6|3.7|35|40|0.5|0.5|165|91|2.2|1.2|20|22|0.3|0.3
Girard Unified School District 248, KS|2006480|1000|211|-888888888|-888888888|1000|211|100|3|0|16|-888888888|3|0|16|-888888888|3|0|16|-888888888|3|0|16|-888888888|3
Goddard Unified School District 265, KS|2006540|7110|687|-888888888|-888888888|6805|677|95.7|2.6|280|180|3.9|2.5|10|13|0.1|0.2|15|22|0.2|0.3|0|21|-888888888|0.4
Goessel Unified School District 411, KS|2006570|270|77|-888888888|-888888888|270|77|100|10.5|0|11|-888888888|10.5|0|11|-888888888|10.5|4|6|1.5|2|0|11|-888888888|10.5
Golden Plains Unified School District 316, KS|2011040|120|60|-888888888|-888888888|90|52|75|26.3|30|38|25|26.3|0|11|-888888888|21.9|0|11|-888888888|21.9|0|11|-888888888|21.9
Goodland Unified School District 352, KS|2006580|1095|140|-888888888|-888888888|1070|147|97.7|3|20|32|1.8|2.9|4|4|0.4|0.6|0|16|-888888888|2.7|0|16|-888888888|2.7
Great Bend Unified School District 428, KS|2006660|3175|287|-888888888|-888888888|2590|336|81.6|6.5|575|205|18.1|6.5|10|17|0.3|0.5|0|18|-888888888|0.9|0|18|-888888888|0.9
Greeley County Schools Unified School District 200, KS|2006690|295|55|-888888888|-888888888|255|70|86.4|12|35|30|11.9|11.1|4|10|1.4|4|0|11|-888888888|9.7|0|11|-888888888|9.7
Greensburg Unified School District 422, KS|2006720|310|42|-888888888|-888888888|295|37|95.2|6|4|9|1.3|4|4|2|1.3|2.8|4|17|1.3|7|0|11|-888888888|9.2
Halstead Unified School District 440, KS|2006840|1235|228|-888888888|-888888888|1190|222|96.4|2.4|35|33|2.8|2.7|0|11|-888888888|2.4|10|17|0.8|1.5|0|11|-888888888|2.4
Haven Public Schools Unified School District 312, KS|2006960|1155|260|-888888888|-888888888|945|173|81.8|13|4|7|0.3|0.6|210|183|18.2|13.1|0|16|-888888888|2.6|0|16|-888888888|2.6
Hays Unified School District 489, KS|2007020|3840|235|-888888888|-888888888|3595|203|93.6|3.1|210|118|5.5|2.9|10|14|0.3|0.4|25|40|0.7|1|0|21|-888888888|0.8
Haysville Unified School District 261, KS|2007050|5245|666|-888888888|-888888888|4735|667|90.3|3.9|410|203|7.8|3.9|20|35|0.4|0.7|80|65|1.5|1.3|0|21|-888888888|0.6
Hesston Unified School District 460, KS|2007170|890|197|-888888888|-888888888|820|194|92.1|10.3|70|93|7.9|10.4|0|11|-888888888|3.3|0|11|-888888888|3.3|4|8|0.4|0.9
Hiawatha Unified School District 415, KS|US20006|1170|96|-888888888|-888888888|1170|96|100|2.5|0|16|-888888888|2.5|0|16|-888888888|2.5|0|16|-888888888|2.5|0|16|-888888888|2.5
Hill City Unified School District 281, KS|2007260|390|42|-888888888|-888888888|385|42|98.7|2.5|0|11|-888888888|7.4|4|4|1|2.4|0|11|-888888888|7.4|4|2|1|2.7
Hoisington Unified School District 431, KS|2007320|605|145|-888888888|-888888888|580|122|95.9|5.9|30|41|5|5.9|0|11|-888888888|4.8|0|11|-888888888|4.8|0|11|-888888888|4.8
Holcomb Unified School District 363, KS|2007350|1220|244|-888888888|-888888888|1005|243|82.4|9.1|215|111|17.6|9.1|0|11|-888888888|2.4|0|11|-888888888|2.4|0|11|-888888888|2.4
Holton Unified School District 336, KS|2007380|1205|192|-888888888|-888888888|1145|191|95|3.1|60|36|5|3.2|0|16|-888888888|2.5|0|16|-888888888|2.5|4|6|0.3|0.4
Hoxie Community Schools Unified School District 412, KS|2007530|445|68|-888888888|-888888888|405|59|91|6.7|40|32|9|6.7|0|11|-888888888|6.5|0|11|-888888888|6.5|0|11|-888888888|6.5
Hugoton Public Schools Unified School District 210, KS|2007560|1115|44|-888888888|-888888888|810|144|72.6|11.8|300|129|26.9|12.1|0|11|-888888888|2.7|0|11|-888888888|2.7|0|11|-888888888|2.7
Humboldt Unified School District 258, KS|2007590|435|123|-888888888|-888888888|435|123|100|6.7|0|11|-888888888|6.7|0|11|-888888888|6.7|0|11|-888888888|6.7|0|11|-888888888|6.7
Hutchinson Public Schools Unified School District 308, KS|2007620|5185|492|-888888888|-888888888|4885|499|94.2|4|255|203|4.9|3.9|30|30|0.6|0.6|0|24|-888888888|0.6|20|34|0.4|0.7
Independence Unified School District 446, KS|2007650|2485|239|-888888888|-888888888|2415|235|97.2|1.7|70|42|2.8|1.7|0|18|-888888888|1.2|0|18|-888888888|1.2|0|18|-888888888|1.2
Ingalls Unified School District 477, KS|2007680|225|73|-888888888|-888888888|120|56|53.3|19.2|35|34|15.6|14|20|22|8.9|10.2|55|44|24.4|18|0|11|-888888888|12.5
Inman Unified School District 448, KS|2007710|540|157|-888888888|-888888888|515|157|95.4|6.1|25|32|4.6|6.1|0|11|-888888888|5.4|0|11|-888888888|5.4|0|11|-888888888|5.4
Iola Unified School District 257, KS|2007740|1520|143|-888888888|-888888888|1470|152|96.7|4|50|60|3.3|4|0|16|-888888888|2|0|16|-888888888|2|0|16|-888888888|2
Jayhawk Unified School District 346, KS|2007750|510|138|-888888888|-888888888|505|138|99|1.6|4|8|0.8|1.5|0|11|-888888888|5.7|0|11|-888888888|5.7|0|11|-888888888|5.7
Jefferson County North Unified School District 339, KS|2013020|445|104|-888888888|-888888888|445|104|100|6.5|0|11|-888888888|6.5|0|11|-888888888|6.5|0|11|-888888888|6.5|0|11|-888888888|6.5
Jefferson West Unified School District 340, KS|2009510|1005|198|-888888888|-888888888|985|193|98|2.7|0|11|-888888888|2.9|20|27|2|2.7|0|11|-888888888|2.9|0|11|-888888888|2.9
Jetmore Unified School District 227, KS|2007800|325|70|-888888888|-888888888|275|70|84.6|7.9|40|23|12.3|7.1|0|11|-888888888|8.8|10|11|3.1|3.6|0|11|-888888888|8.8
Kansas City Unified School District 500, KS|2007950|24295|800|-888888888|-888888888|13135|711|54.1|2.4|9120|621|37.5|2.3|190|149|0.8|0.6|1225|264|5|1.1|630|332|2.6|1.4
Kaw Valley Unified School District 321, KS|2007970|2035|382|-888888888|-888888888|2030|383|99.8|0.6|4|11|0.2|0.7|0|16|-888888888|1.5|0|16|-888888888|1.5|0|16|-888888888|1.5
Kingman-Norwich Unified School District 331, KS|2008070|735|101|-888888888|-888888888|720|105|98|3.2|15|23|2|3.2|0|16|-888888888|4|0|16|-888888888|4|0|16|-888888888|4
Kinsley-Offerle Unified School District 347, KS|2008100|355|48|-888888888|-888888888|260|52|73.2|8.9|95|32|26.8|8.9|0|11|-888888888|8.1|4|3|1.1|2.3|0|11|-888888888|8.1
Kismet-Plains Unified School District 483, KS|2008190|945|258|-888888888|-888888888|445|152|47.1|14.2|410|208|43.4|14.9|85|90|9|9.6|0|11|-888888888|3.1|4|6|0.4|0.6
Labette County Unified School District 506, KS|2003300|1755|243|-888888888|-888888888|1440|275|82.1|8.6|10|13|0.6|0.7|305|148|17.4|8.7|0|16|-888888888|1.7|4|3|0.2|0.4
LaCrosse Unified School District 395, KS|2008220|265|57|-888888888|-888888888|255|58|96.2|5.2|0|11|-888888888|10.7|10|10|3.8|5.2|0|11|-888888888|10.7|0|11|-888888888|10.7
Lakin Unified School District 215, KS|2008280|690|148|-888888888|-888888888|470|131|68.1|13.8|200|101|29|13.1|0|11|-888888888|4.3|0|11|-888888888|4.3|15|21|2.2|3.2
Lansing Unified School District 469, KS|2008340|2650|339|-888888888|-888888888|2590|332|97.7|3.5|0|18|-888888888|1.1|55|92|2.1|3.4|4|13|0.2|0.7|0|18|-888888888|1.1
Lawrence Unified School District 497, KS|2008400|12460|477|-888888888|-888888888|11335|571|91|2.8|255|146|2|1.2|285|157|2.3|1.3|435|189|3.5|1.5|155|176|1.2|1.4
Leavenworth Unified School District 453, KS|2008430|4250|408|-888888888|-888888888|4045|410|95.2|3.5|20|45|0.5|1.1|135|123|3.2|2.9|50|68|1.2|1.6|0|21|-888888888|0.7
Lebo-Waverly Unified School District 243, KS|2012810|535|113|-888888888|-888888888|515|109|96.3|5.2|20|29|3.7|5.2|0|11|-888888888|5.4|0|11|-888888888|5.4|0|11|-888888888|5.4
Leoti Unified School District 467, KS|2008610|330|79|-888888888|-888888888|270|85|81.8|13.4|60|45|18.2|13.4|0|11|-888888888|8.7|0|11|-888888888|8.7|0|11|-888888888|8.7
Leroy-Gridley Unified School District 245, KS|2008670|215|64|-888888888|-888888888|200|62|93|7.5|15|16|7|7.5|0|11|-888888888|13|0|11|-888888888|13|0|11|-888888888|13
Liberal Unified School District 480, KS|2008730|4430|235|-888888888|-888888888|1480|455|33.4|9.8|2870|446|64.8|10.1|25|30|0.6|0.7|55|72|1.2|1.6|0|18|-888888888|0.7
Lincoln Unified School District 298, KS|2008790|410|60|-888888888|-888888888|410|60|100|7.1|0|11|-888888888|7.1|0|11|-888888888|7.1|0|11|-888888888|7.1|0|11|-888888888|7.1
Little River Unified School District 444, KS|2008880|235|87|-888888888|-888888888|235|87|100|12|0|11|-888888888|12|4|3|1.7|3.7|0|11|-888888888|12|0|11|-888888888|12
Logan Unified School District 326, KS|2008910|285|101|-888888888|-888888888|285|101|100|10|0|11|-888888888|10|0|11|-888888888|10|0|11|-888888888|10|0|11|-888888888|10
