142,Dresden,1,0.09%,80,7.67%,68,6.51%,9,0.86%,823,78.9%,62,5.94%,,"1,043"
149,Dunbarton,0,0.00%,1,0.42%,10,4.27%,0,0.00%,216,92.3%,7,2.99%,,234
153,East Kingston,0,0.00%,0,0.00%,3,2.77%,0,0.00%,104,96.2%,1,0.92%,,108
165,Epping,2,0.22%,6,0.68%,30,3.44%,4,0.45%,807,92.6%,22,2.52%,,871
167,Epsom,0,0.00%,0,0.00%,11,2.91%,0,0.00%,356,94.1%,11,2.91%,,378
171,Errol,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,100.%,0,0.00%,,10
173,Exeter,3,0.37%,20,2.47%,26,3.22%,12,1.48%,722,89.4%,24,2.97%,,807
172,Exeter Region Cooperative,12,0.52%,75,3.26%,76,3.31%,32,1.39%,"2,057",89.6%,42,1.83%,,"2,294"
174,Fall Mountain Regional,0,0.00%,3,0.21%,42,3.01%,7,0.50%,"1,298",93.1%,44,3.15%,,"1,394"
175,Farmington,1,0.13%,7,0.95%,15,2.04%,4,0.54%,657,89.7%,48,6.55%,,732
185,Franklin,4,0.47%,4,0.47%,72,8.54%,4,0.47%,733,86.9%,26,3.08%,,843
187,Freedom,0,0.00%,0,0.00%,3,5.76%,0,0.00%,49,94.2%,0,0.00%,,52
189,Fremont,0,0.00%,0,0.00%,21,5.94%,1,0.28%,320,90.6%,11,3.11%,,353
191,Gilford,1,0.09%,15,1.42%,22,2.09%,9,0.85%,984,93.7%,19,1.80%,,"1,050"
195,Gilmanton,0,0.00%,1,0.29%,6,1.79%,0,0.00%,319,95.2%,9,2.68%,,335
199,Goffstown,6,0.21%,32,1.15%,117,4.22%,40,1.44%,"2,473",89.3%,99,3.57%,,"2,767"
203,Gorham Randolph Shelburne Cooperative,0,0.00%,7,1.88%,16,4.30%,1,0.26%,336,90.3%,12,3.22%,,372
208,Governor Wentworth Regional,9,0.43%,20,0.96%,54,2.60%,25,1.20%,"1,949",93.8%,19,0.91%,,"2,076"
211,Grantham,1,0.38%,5,1.93%,15,5.81%,1,0.38%,222,86.0%,14,5.42%,,258
215,Greenland,0,0.00%,8,2.17%,16,4.35%,1,0.27%,328,89.3%,14,3.81%,,367
223,Hampstead,3,0.36%,7,0.85%,46,5.59%,1,0.12%,749,91.1%,16,1.94%,,822
225,Hampton,3,0.33%,21,2.33%,64,7.12%,5,0.55%,775,86.3%,30,3.34%,,898
227,Hampton Falls,1,0.52%,0,0.00%,11,5.78%,1,0.52%,166,87.3%,11,5.78%,,190
233,Hanover,0,0.00%,47,10.1%,30,6.47%,9,1.94%,336,72.5%,41,8.85%,,463
235,Harrisville,0,0.00%,0,0.00%,1,2.12%,0,0.00%,40,85.1%,6,12.7%,,47
238,Haverhill Cooperative,0,0.00%,13,2.07%,20,3.19%,6,0.95%,580,92.6%,7,1.11%,,626
245,Henniker,0,0.00%,1,0.24%,12,2.98%,5,1.24%,378,94.0%,6,1.49%,,402
247,Hill,0,0.00%,2,3.17%,2,3.17%,0,0.00%,57,90.4%,2,3.17%,,63
251,Hillsboro-Deering Cooperative,1,0.10%,4,0.40%,47,4.79%,12,1.22%,889,90.6%,28,2.85%,,981
255,Hinsdale,2,0.38%,9,1.73%,22,4.24%,5,0.96%,445,85.9%,35,6.75%,,518
257,Holderness,0,0.00%,4,2.56%,5,3.20%,1,0.64%,142,91.0%,4,2.56%,,156
259,Hollis,1,0.14%,31,4.64%,16,2.39%,7,1.04%,587,87.8%,26,3.89%,,668
260,Hollis-Brookline Cooperative,1,0.08%,60,5.38%,6,0.53%,10,0.89%,"1,007",90.3%,30,2.69%,,"1,114"
261,Hooksett,2,0.15%,49,3.84%,91,7.13%,14,1.09%,"1,075",84.2%,45,3.52%,,"1,276"
263,Hopkinton,1,0.10%,5,0.53%,45,4.80%,10,1.06%,834,89.1%,41,4.38%,,936
267,Hudson,6,0.20%,67,2.29%,313,10.7%,45,1.54%,"2,338",80.0%,152,5.20%,,"2,921"
269,Inter-Lakes Cooperative,1,0.10%,10,1.09%,25,2.73%,9,0.98%,842,92.2%,26,2.84%,,913
271,Jackson,1,2.70%,2,5.40%,2,5.40%,0,0.00%,30,81.0%,2,5.40%,,37
274,Jaffrey-Rindge Cooperative,1,0.08%,10,0.87%,77,6.70%,12,1.04%,"1,019",88.6%,30,2.61%,,"1,149"
275,John Stark Regional,0,0.00%,2,0.32%,30,4.94%,0,0.00%,559,92.0%,16,2.63%,,607
276,Kearsarge Regional,4,0.23%,20,1.19%,48,2.87%,9,0.53%,"1,555",93.2%,32,1.91%,,"1,668"
279,Keene,26,0.86%,75,2.50%,161,5.36%,49,1.63%,"2,592",86.4%,96,3.20%,,"2,999"
281,Kensington,0,0.00%,1,0.70%,2,1.40%,1,0.70%,131,92.2%,7,4.92%,,142
285,Laconia,1,0.05%,24,1.32%,129,7.14%,43,2.38%,"1,544",85.4%,65,3.59%,,"1,806"
288,Lafayette Regional,0,0.00%,0,0.00%,5,5.10%,0,0.00%,87,88.7%,6,6.12%,,98
291,Landaff,0,0.00%,0,0.00%,0,0.00%,0,0.00%,22,100.%,0,0.00%,,22
295,Lebanon,4,0.24%,141,8.63%,85,5.20%,47,2.87%,"1,319",80.8%,36,2.20%,,"1,632"
299,Lempster,0,0.00%,1,0.75%,9,6.81%,0,0.00%,122,92.4%,0,0.00%,,132
305,Lincoln-Woodstock Cooperative,2,0.82%,10,4.14%,6,2.48%,4,1.65%,214,88.7%,5,2.07%,,241
306,Lisbon Regional,0,0.00%,2,0.75%,14,5.28%,1,0.37%,244,92.0%,4,1.50%,,265
315,Litchfield,1,0.08%,16,1.43%,78,7.01%,9,0.80%,965,86.7%,43,3.86%,,"1,112"
317,Littleton,4,0.71%,13,2.30%,46,8.17%,5,0.88%,478,84.9%,17,3.01%,,563
319,Londonderry,1,0.02%,62,1.58%,208,5.30%,39,0.99%,"3,473",88.5%,141,3.59%,,"3,924"
327,Lyme,0,0.00%,7,3.74%,9,4.81%,4,2.13%,167,89.3%,0,0.00%,,187
333,Madison,0,0.00%,1,0.77%,5,3.87%,0,0.00%,123,95.3%,0,0.00%,,129
335,Manchester,16,0.13%,470,3.96%,"3,782",31.8%,"1,354",11.4%,"5,583",47.0%,660,5.56%,,"11,865"
339,Marlborough,1,0.60%,4,2.43%,1,0.60%,4,2.43%,151,92.0%,3,1.82%,,164
341,Marlow,0,0.00%,0,0.00%,1,1.81%,0,0.00%,54,98.1%,0,0.00%,,55
342,Mascenic Regional,0,0.00%,8,0.91%,21,2.40%,6,0.68%,837,95.6%,3,0.34%,,875
343,Mascoma Valley Regional,1,0.09%,6,0.58%,21,2.04%,3,0.29%,957,93.1%,39,3.79%,,"1,027"
345,Mason,0,0.00%,4,3.77%,1,0.94%,0,0.00%,101,95.2%,0,0.00%,,106
351,Merrimack,10,0.29%,79,2.29%,191,5.54%,47,1.36%,"2,951",85.6%,167,4.84%,,"3,445"
352,Merrimack Valley,1,0.04%,36,1.66%,82,3.78%,44,2.03%,"1,936",89.3%,68,3.13%,,"2,167"
353,Middleton,0,0.00%,2,1.29%,4,2.58%,1,0.64%,147,94.8%,1,0.64%,,155
355,Milan,0,0.00%,2,1.96%,3,2.94%,0,0.00%,94,92.1%,3,2.94%,,102
357,Milford,7,0.35%,37,1.86%,138,6.96%,25,1.26%,"1,719",86.7%,56,2.82%,,"1,982"
359,Milton,1,0.19%,7,1.37%,13,2.54%,3,0.58%,469,91.9%,17,3.33%,,510
363,Monadnock Regional,4,0.25%,22,1.37%,46,2.87%,11,0.68%,"1,477",92.4%,38,2.37%,,"1,598"
365,Monroe,0,0.00%,0,0.00%,5,5.68%,0,0.00%,83,94.3%,0,0.00%,,88
367,Mont Vernon,0,0.00%,4,1.70%,13,5.55%,2,0.85%,208,88.8%,7,2.99%,,234
369,Moultonborough,0,0.00%,3,0.61%,11,2.24%,5,1.01%,467,95.1%,5,1.01%,,491
371,Nashua,8,0.08%,755,7.78%,"3,427",35.3%,291,3.00%,"4,747",48.9%,471,4.85%,,"9,699"
375,Nelson,0,0.00%,1,1.72%,2,3.44%,1,1.72%,53,91.3%,1,1.72%,,58
377,New Boston,1,0.21%,0,0.00%,18,3.92%,9,1.96%,407,88.6%,24,5.22%,,459
381,New Castle,0,0.00%,2,6.06%,0,0.00%,0,0.00%,30,90.9%,1,3.03%,,33
387,Newfields,0,0.00%,3,2.60%,1,0.86%,2,1.73%,109,94.7%,0,0.00%,,115
388,Newfound Area,3,0.29%,5,0.49%,23,2.26%,11,1.08%,946,93.2%,27,2.66%,,"1,015"
391,Newington,0,0.00%,0,0.00%,1,2.32%,0,0.00%,41,95.3%,1,2.32%,,43
399,Newmarket,2,0.20%,27,2.77%,69,7.09%,13,1.33%,805,82.7%,57,5.85%,,973
401,Newport,0,0.00%,8,1.12%,17,2.39%,1,0.14%,672,94.6%,12,1.69%,,710
405,North Hampton,1,0.37%,4,1.49%,7,2.61%,0,0.00%,248,92.5%,8,2.98%,,268
407,Northumberland,0,0.00%,0,0.00%,6,1.91%,5,1.59%,303,96.4%,0,0.00%,,314
411,Northwood,0,0.00%,1,0.24%,16,3.87%,0,0.00%,388,93.9%,8,1.93%,,413
413,Nottingham,0,0.00%,3,0.56%,12,2.27%,3,0.56%,484,91.8%,25,4.74%,,527
423,Oyster River Coop,1,0.04%,123,5.86%,79,3.76%,18,0.85%,"1,782",84.9%,94,4.48%,,"2,097"
584,Pasquaney,2,1.45%,1,0.72%,4,2.91%,0,0.00%,126,91.9%,4,2.91%,,137
425,Pelham,1,0.06%,50,3.10%,150,9.32%,17,1.05%,"1,346",83.7%,44,2.73%,,"1,608"
427,Pembroke,2,0.14%,8,0.59%,64,4.75%,13,0.96%,"1,200",89.1%,59,4.38%,,"1,346"
428,Pemi-Baker Regional,1,0.15%,11,1.68%,22,3.37%,5,0.76%,592,90.9%,20,3.07%,,651
435,Piermont,0,0.00%,1,1.75%,0,0.00%,0,0.00%,56,98.2%,0,0.00%,,57
437,Pittsburg,0,0.00%,0,0.00%,4,5.06%,0,0.00%,73,92.4%,2,2.53%,,79
439,Pittsfield,3,0.62%,0,0.00%,26,5.42%,7,1.46%,430,89.7%,13,2.71%,,479
441,Plainfield,0,0.00%,4,2.18%,6,3.27%,0,0.00%,164,89.6%,9,4.91%,,183
447,Plymouth,0,0.00%,10,2.73%,15,4.10%,4,1.09%,325,89.0%,11,3.01%,,365
449,Portsmouth,3,0.12%,154,6.34%,182,7.49%,32,1.31%,"1,900",78.2%,157,6.46%,,"2,428"
450,Profile,0,0.00%,2,0.92%,12,5.55%,1,0.46%,194,89.8%,7,3.24%,,216
453,Raymond,4,0.36%,11,0.99%,69,6.21%,10,0.90%,988,89.0%,28,2.52%,,"1,110"
461,Rochester,3,0.07%,74,1.96%,202,5.36%,38,1.00%,"3,260",86.5%,191,5.06%,,"3,768"
463,Rollinsford,0,0.00%,0,0.00%,8,5.19%,0,0.00%,138,89.6%,8,5.19%,,154
467,Rumney,0,0.00%,0,0.00%,0,0.00%,0,0.00%,83,98.8%,1,1.19%,,84
471,Rye,0,0.00%,1,0.25%,8,2.07%,0,0.00%,365,94.5%,12,3.10%,,386
473,Salem,6,0.16%,113,3.19%,505,14.2%,48,1.35%,"2,758",77.9%,108,3.05%,,"3,538"
476,Sanborn Regional,0,0.00%,8,0.66%,85,7.04%,8,0.66%,"1,079",89.3%,27,2.23%,,"1,207"
485,Seabrook,0,0.00%,5,0.86%,64,11.0%,10,1.72%,454,78.4%,46,7.94%,,579
486,Shaker Regional,0,0.00%,5,0.43%,34,2.99%,4,0.35%,"1,060",93.2%,34,2.99%,,"1,137"
491,Somersworth,0,0.00%,110,8.44%,112,8.59%,36,2.76%,947,72.6%,98,7.52%,,"1,303"
493,Souhegan Cooperative,3,0.43%,19,2.72%,36,5.17%,9,1.29%,622,89.3%,7,1.00%,,696
495,South Hampton,0,0.00%,0,0.00%,1,1.23%,0,0.00%,79,97.5%,1,1.23%,,81
499,Stark,0,0.00%,0,0.00%,0,0.00%,0,0.00%,32,100.%,0,0.00%,,32
501,Stewartstown,0,0.00%,0,0.00%,4,6.77%,0,0.00%,55,93.2%,0,0.00%,,59
503,Stoddard,0,0.00%,0,0.00%,1,2.17%,0,0.00%,44,95.6%,1,2.17%,,46
507,Strafford,0,0.00%,1,0.26%,2,0.53%,0,0.00%,368,97.8%,5,1.32%,,376
509,Stratford,0,0.00%,0,0.00%,4,7.54%,0,0.00%,48,90.5%,1,1.88%,,53
511,Stratham,2,0.40%,14,2.81%,15,3.01%,0,0.00%,454,91.1%,13,2.61%,,498
515,Sunapee,0,0.00%,13,3.25%,17,4.25%,2,0.50%,362,90.5%,6,1.50%,,400
525,Tamworth,1,0.60%,3,1.81%,3,1.81%,3,1.81%,151,91.5%,4,2.42%,,165
531,Thornton,2,1.16%,0,0.00%,7,4.06%,2,1.16%,157,91.2%,4,2.32%,,172
534,Timberlane Regional,7,0.21%,22,0.68%,252,7.84%,20,0.62%,"2,793",86.9%,118,3.67%,,"3,212"
539,Unity,0,0.00%,0,0.00%,0,0.00%,3,3.48%,83,96.5%,0,0.00%,,86
543,Wakefield,0,0.00%,3,0.73%,9,2.19%,1,0.24%,390,95.1%,7,1.70%,,410
549,Warren,0,0.00%,0,0.00%,1,1.78%,0,0.00%,55,98.2%,0,0.00%,,56
551,Washington,0,0.00%,0,0.00%,0,0.00%,0,0.00%,38,100.%,0,0.00%,,38
553,Waterville Valley,0,0.00%,3,9.09%,1,3.03%,0,0.00%,29,87.8%,0,0.00%,,33
555,Weare,2,0.24%,5,0.60%,38,4.57%,6,0.72%,763,91.8%,17,2.04%,,831
559,Wentworth,0,0.00%,2,2.56%,0,0.00%,0,0.00%,76,97.4%,0,0.00%,,78
563,Westmoreland,0,0.00%,0,0.00%,4,3.20%,3,2.40%,116,92.8%,2,1.60%,,125
568,White Mountains Regional,0,0.00%,7,0.79%,31,3.51%,7,0.79%,804,91.0%,34,3.85%,,883
572,Wilton-Lyndeborough Cooperative,1,0.18%,4,0.75%,17,3.22%,4,0.75%,495,93.9%,6,1.13%,,527
573,Winchester,1,0.31%,1,0.31%,9,2.79%,4,1.24%,302,93.7%,5,1.55%,,322
575,Windham,3,0.10%,177,6.11%,176,6.08%,24,0.82%,"2,325",80.3%,188,6.49%,,"2,893"
581,Winnacunnet Cooperative,2,0.20%,10,1.03%,38,3.91%,11,1.13%,906,93.4%,3,0.30%,,970
582,Winnisquam Regional,1,0.08%,16,1.36%,49,4.17%,11,0.93%,"1,019",86.7%,79,6.72%,,"1,175"
,SubTotal,267,,"4,516",,"14,226",,"3,287",,"124,516",,"5,793",,,"152,605"
Public Academies and Joint Maintenance Agreements,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
District #,District Name,American Indian or Alaskan Native,,Asian or Pacific,,Hispanic,,Black Non-Hispanic,,White Non-Hispanic,,Multi-Race,,,Total
998,Coe-Brown Northwood Academy,0,0.00%,1,0.15%,22,3.36%,1,0.15%,619,94.6%,11,1.68%,,654
999,Pinkerton Academy,9,0.31%,74,2.55%,169,5.84%,39,1.34%,"2,503",86.5%,97,3.35%,,"2,891"
970,Prospect Mountain JMA,0,0.00%,3,0.74%,12,2.97%,3,0.74%,375,93.0%,10,2.48%,,403
,SubTotal,9,,78,,203,,43,,"3,497",,118,,,"3,948"
,,,,,,,,,,,,,,,
Public Charter Schools,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
District #,District Name,American Indian or Alaskan Native,,Asian or Pacific,,Hispanic,,Black Non-Hispanic,,White Non-Hispanic,,Multi-Race,,,Total
725,Academy for Science and Design Charter School,0,0.00%,262,38.9%,43,6.39%,19,2.82%,303,45.0%,45,6.69%,,672
702,Arts Academy of New Hampshire Chartered Public High School ,0,0.00%,0,0.00%,7,6.60%,0,0.00%,97,91.5%,2,1.88%,,106
726,Benjamin Franklin Academy Chartered Public School,0,0.00%,0,0.00%,4,5.26%,2,2.63%,69,90.7%,1,1.31%,,76
743,Compass Classical Academy Charter School,0,0.00%,4,2.08%,13,6.77%,2,1.04%,163,84.8%,10,5.20%,,192
723,CSI Charter School,0,0.00%,0,0.00%,0,0.00%,0,0.00%,34,100.%,0,0.00%,,34
742,Gate City Charter School For the Arts,0,0.00%,0,0.00%,16,10.0%,5,3.12%,131,81.8%,8,5.00%,,160
750,Gathering Waters Charter School,4,1.39%,16,5.59%,5,1.74%,8,2.79%,251,87.7%,2,0.69%,,286
709,Great Bay Charter School,0,0.00%,1,0.65%,6,3.92%,1,0.65%,136,88.8%,9,5.88%,,153
718,Heartwood Public Charter School,0,0.00%,0,0.00%,0,0.00%,0,0.00%,85,95.5%,4,4.49%,,89
708,Kreiva Academy Public Charter School,0,0.00%,2,1.70%,31,26.4%,5,4.27%,63,53.8%,16,13.6%,,117
719,Ledyard Charter School,0,0.00%,0,0.00%,3,6.25%,1,2.08%,43,89.5%,1,2.08%,,48
722,Lionheart Classical Academy Chartered Public School,0,0.00%,2,0.64%,0,0.00%,0,0.00%,304,97.7%,5,1.60%,,311
733,Making Community Connections Charter School,0,0.00%,1,1.25%,5,6.25%,1,1.25%,68,85.0%,5,6.25%,,80
744,MicroSociety Academy Charter School Foundation,1,0.32%,92,30.2%,40,13.1%,13,4.27%,150,49.3%,8,2.63%,,304
729,Mill Falls Charter School,1,0.59%,11,6.54%,26,15.4%,10,5.95%,112,66.6%,8,4.76%,,168
704,Mountain Village Charter School,0,0.00%,0,0.00%,1,0.85%,0,0.00%,113,96.5%,3,2.56%,,117
740,Next Charter School,0,0.00%,0,0.00%,2,2.53%,0,0.00%,77,97.4%,0,0.00%,,79
703,North Country Charter Academy,0,0.00%,0,0.00%,4,8.00%,0,0.00%,45,90.0%,1,2.00%,,50
716,Northeast Woodland Chartered Public School,0,0.00%,2,1.16%,3,1.74%,0,0.00%,167,97.0%,0,0.00%,,172
735,Polaris Charter School,0,0.00%,4,3.36%,19,15.9%,11,9.24%,76,63.8%,9,7.56%,,119
724,River View Chartered Public School,0,0.00%,0,0.00%,2,6.66%,1,3.33%,26,86.6%,1,3.33%,,30
737,Robert Frost Charter School,0,0.00%,0,0.00%,0,0.00%,1,2.77%,35,97.2%,0,0.00%,,36
705,Seacoast Charter School,0,0.00%,8,2.78%,13,4.52%,0,0.00%,257,89.5%,9,3.13%,,287
730,Seacoast Classical Academy Chartered Public School,2,1.11%,1,0.55%,14,7.82%,0,0.00%,162,90.5%,0,0.00%,,179
714,Spark Academy of Advanced Technologies,0,0.00%,4,4.16%,10,10.4%,2,2.08%,80,83.3%,0,0.00%,,96
721,Strong Foundations Charter School,0,0.00%,21,6.23%,7,2.07%,5,1.48%,300,89.0%,4,1.18%,,337
717,Surry Village Charter School,0,0.00%,1,1.26%,6,7.59%,1,1.26%,67,84.8%,4,5.06%,,79
732,Synergy Academy Chartered Public School,0,0.00%,0,0.00%,1,5.00%,0,0.00%,19,95.0%,0,0.00%,,20
731,The Birches Academy of Academics & Art A Public Charter Sch,0,0.00%,19,6.64%,22,7.69%,4,1.39%,231,80.7%,10,3.49%,,286
741,The Founders Academy Charter School,0,0.00%,26,6.03%,41,9.51%,22,5.10%,331,76.7%,11,2.55%,,431
727,Virtual Learning Academy Charter School,1,0.19%,14,2.74%,33,6.47%,6,1.17%,433,84.9%,23,4.50%,,510
712,Windham Academy Public Charter School,0,0.00%,13,3.17%,40,9.75%,2,0.48%,318,77.5%,37,9.02%,,410
,SubTotal,9,,504,,417,,122,,"4,746",,236,,,"6,034"
Foot Notes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Academic School year starts July 1 thru Jun 30,,,,,,,,,,,,,,,
October 1st enrollments are reported by race for the public school districts and two public academies.,,,,,,,,,,,,,,,
"Total includes students in Public District Schools, Public Academies, Joint Maintenance Agreement and Charter Schools. Interstate schools not included in enrollment totals",,,,,,,,,,,,,,,
Rivendell School District counts includes NH resident students only,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Source,,,,,,,,,,,,,,,
Data comes from BOY i4see Submission.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
